2026-05-09 01:36:23 | DEBUG    | backend.database | <module> | Database directory ensured: /app/data
2026-05-09 01:36:23 | INFO     | backend.database | <module> | Database engine created: sqlite:////app/data/backend_app.db
2026-05-09 01:36:23 | INFO     | backend.api | <module> | Database tables verified/created on startup.
2026-05-09 01:37:29 | DEBUG    | backend.database | <module> | Database directory ensured: /app/data
2026-05-09 01:37:29 | INFO     | backend.database | <module> | Database engine created: sqlite:////app/data/backend_app.db
2026-05-09 01:37:29 | INFO     | backend.api | <module> | Database tables verified/created on startup.
2026-05-09 01:37:54 | INFO     | backend.api | login | Login attempt for username='admin'
2026-05-09 01:37:55 | DEBUG    | backend.security | verify_password | Password verification result: True
2026-05-09 01:37:55 | INFO     | backend.api | login | Login successful: username='admin', id=1
2026-05-09 01:37:55 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:37:55 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:37:55 | INFO     | backend.api | get_projects | Returning 2 project(s) for user_id=1
2026-05-09 01:37:55 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:38:00 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:38:00 | INFO     | backend.api | get_projects | Returning 2 project(s) for user_id=1
2026-05-09 01:38:00 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:38:00 | INFO     | backend.api | delete_project | Delete requested for project_id=1
2026-05-09 01:38:00 | DEBUG    | backend.api | delete_project | Deleted PDF file: /app/data/uploads/project_1.pdf
2026-05-09 01:38:00 | INFO     | backend.api | delete_project | Project deleted: project_id=1
2026-05-09 01:38:00 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:38:00 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:38:00 | INFO     | backend.api | get_projects | Returning 1 project(s) for user_id=1
2026-05-09 01:38:00 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:38:02 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:38:02 | INFO     | backend.api | get_projects | Returning 1 project(s) for user_id=1
2026-05-09 01:38:02 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:38:02 | INFO     | backend.api | delete_project | Delete requested for project_id=2
2026-05-09 01:38:02 | DEBUG    | backend.api | delete_project | Deleted PDF file: /app/data/uploads/project_2.pdf
2026-05-09 01:38:02 | INFO     | backend.api | delete_project | Project deleted: project_id=2
2026-05-09 01:38:02 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:38:02 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:38:02 | INFO     | backend.api | get_projects | Returning 0 project(s) for user_id=1
2026-05-09 01:38:02 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:38:10 | INFO     | backend.api | create_project | Creating project name='project1' for user_id=1
2026-05-09 01:38:10 | INFO     | backend.api | create_project | Project created: id=1, name='project1', owner_id=1
2026-05-09 01:38:10 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:38:10 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:38:10 | INFO     | backend.api | get_projects | Returning 1 project(s) for user_id=1
2026-05-09 01:38:10 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:38:13 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:38:13 | INFO     | backend.api | get_projects | Returning 1 project(s) for user_id=1
2026-05-09 01:38:13 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:38:13 | DEBUG    | backend.api | get_project | Fetching project_id=1
2026-05-09 01:38:13 | DEBUG    | backend.api | get_project | Project fetched: project_id=1, has_data=False
2026-05-09 01:38:13 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:38:13 | DEBUG    | backend.api | get_project_pdf | PDF requested for project_id=1, path=/app/data/uploads/project_1.pdf
2026-05-09 01:38:13 | WARNING  | backend.api | get_project_pdf | PDF not found for project_id=1 at path=/app/data/uploads/project_1.pdf
2026-05-09 01:38:14 | DEBUG    | backend.api | get_project | Fetching project_id=1
2026-05-09 01:38:14 | DEBUG    | backend.api | get_project | Project fetched: project_id=1, has_data=False
2026-05-09 01:38:14 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:38:19 | DEBUG    | backend.api | get_project | Fetching project_id=1
2026-05-09 01:38:19 | DEBUG    | backend.api | get_project | Project fetched: project_id=1, has_data=False
2026-05-09 01:38:19 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:38:21 | DEBUG    | backend.api | get_project | Fetching project_id=1
2026-05-09 01:38:21 | DEBUG    | backend.api | get_project | Project fetched: project_id=1, has_data=False
2026-05-09 01:38:21 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:38:21 | INFO     | backend.api | process_project | Processing started: project_id=1, filename='synth-switch_v5-4.pdf', content_type='application/pdf'
2026-05-09 01:38:21 | DEBUG    | backend.api | process_project | File read into memory: 271239 bytes
2026-05-09 01:38:21 | DEBUG    | backend.api | process_project | PDF saved to disk: /app/data/uploads/project_1.pdf
2026-05-09 01:38:21 | DEBUG    | backend.services | run_pipeline | Pipeline env URLs — OCR: http://ocr:8001/process | Extractor: http://extractor:8002/extract | Validator: http://validator:8003/validate
2026-05-09 01:38:21 | INFO     | backend.services | run_pipeline | Step 1/3 — Calling OCR service for file='synth-switch_v5-4.pdf' (271239 bytes)
2026-05-09 01:38:25 | INFO     | backend.services | run_pipeline | OCR completed in 4.06s — extracted 1828 characters.
2026-05-09 01:38:25 | INFO     | backend.services | run_pipeline | Step 2/3 — Calling Extractor service.
2026-05-09 01:38:25 | INFO     | backend.services | run_pipeline | Extractor completed in 0.11s — format='Switch Invoice'.
2026-05-09 01:38:25 | INFO     | backend.services | run_pipeline | Step 3/3 — Calling Validator service.
2026-05-09 01:38:25 | INFO     | backend.services | run_pipeline | Validator completed in 0.06s — is_valid=True.
2026-05-09 01:38:25 | INFO     | backend.services | run_pipeline | Pipeline finished successfully for file='synth-switch_v5-4.pdf'.
2026-05-09 01:38:25 | INFO     | backend.api | process_project | Pipeline completed for project_id=1 in 4.25s
2026-05-09 01:38:25 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:38:26 | DEBUG    | backend.api | get_project | Fetching project_id=1
2026-05-09 01:38:26 | DEBUG    | backend.api | get_project | Project fetched: project_id=1, has_data=True
2026-05-09 01:38:26 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:39:15 | DEBUG    | backend.api | get_project | Fetching project_id=1
2026-05-09 01:39:15 | DEBUG    | backend.api | get_project | Project fetched: project_id=1, has_data=True
2026-05-09 01:39:15 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:41:19 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:41:19 | INFO     | backend.api | get_projects | Returning 1 project(s) for user_id=1
2026-05-09 01:41:19 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:41:29 | INFO     | backend.api | create_project | Creating project name='no_template' for user_id=1
2026-05-09 01:41:29 | INFO     | backend.api | create_project | Project created: id=2, name='no_template', owner_id=1
2026-05-09 01:41:29 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:41:29 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:41:29 | INFO     | backend.api | get_projects | Returning 2 project(s) for user_id=1
2026-05-09 01:41:29 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:41:32 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:41:32 | INFO     | backend.api | get_projects | Returning 2 project(s) for user_id=1
2026-05-09 01:41:32 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:41:32 | DEBUG    | backend.api | get_project | Fetching project_id=2
2026-05-09 01:41:32 | DEBUG    | backend.api | get_project | Project fetched: project_id=2, has_data=False
2026-05-09 01:41:32 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:41:32 | DEBUG    | backend.api | get_project_pdf | PDF requested for project_id=2, path=/app/data/uploads/project_2.pdf
2026-05-09 01:41:32 | WARNING  | backend.api | get_project_pdf | PDF not found for project_id=2 at path=/app/data/uploads/project_2.pdf
2026-05-09 01:41:32 | DEBUG    | backend.api | get_project | Fetching project_id=2
2026-05-09 01:41:32 | DEBUG    | backend.api | get_project | Project fetched: project_id=2, has_data=False
2026-05-09 01:41:32 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:41:46 | DEBUG    | backend.api | get_project | Fetching project_id=2
2026-05-09 01:41:46 | DEBUG    | backend.api | get_project | Project fetched: project_id=2, has_data=False
2026-05-09 01:41:46 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:41:47 | DEBUG    | backend.api | get_project | Fetching project_id=2
2026-05-09 01:41:47 | DEBUG    | backend.api | get_project | Project fetched: project_id=2, has_data=False
2026-05-09 01:41:47 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:41:47 | INFO     | backend.api | process_project | Processing started: project_id=2, filename='extracto_202511.pdf', content_type='application/pdf'
2026-05-09 01:41:47 | DEBUG    | backend.api | process_project | File read into memory: 495208 bytes
2026-05-09 01:41:47 | DEBUG    | backend.api | process_project | PDF saved to disk: /app/data/uploads/project_2.pdf
2026-05-09 01:41:47 | DEBUG    | backend.services | run_pipeline | Pipeline env URLs — OCR: http://ocr:8001/process | Extractor: http://extractor:8002/extract | Validator: http://validator:8003/validate
2026-05-09 01:41:47 | INFO     | backend.services | run_pipeline | Step 1/3 — Calling OCR service for file='extracto_202511.pdf' (495208 bytes)
2026-05-09 01:41:58 | INFO     | backend.services | run_pipeline | OCR completed in 10.21s — extracted 3177 characters.
2026-05-09 01:41:58 | INFO     | backend.services | run_pipeline | Step 2/3 — Calling Extractor service.
2026-05-09 01:41:58 | ERROR    | backend.services | run_pipeline | Extractor service failed in 0.01s — HTTP 400: {"detail":"El formato de este documento aún no ha sido configurado. Por favor agregue el archivo JSON de configuración en la carpeta configs/."}
2026-05-09 01:41:58 | ERROR    | backend.api | process_project | Pipeline failed for project_id=2 after 10.23s: Extractor Service failed: {"detail":"El formato de este documento aún no ha sido configurado. Por favor agregue el archivo JSON de configuración en la carpeta configs/."}
2026-05-09 01:41:58 | ERROR    | backend.database | get_db | Unexpected error during database session; rolling back.
Traceback (most recent call last):
  File "/app/backend/api.py", line 149, in process_project
    extracted_json = await run_pipeline(file.filename, content)
  File "/app/backend/services.py", line 68, in run_pipeline
    raise RuntimeError(f"Extractor Service failed: {ext_res.text}")
RuntimeError: Extractor Service failed: {"detail":"El formato de este documento aún no ha sido configurado. Por favor agregue el archivo JSON de configuración en la carpeta configs/."}

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/app/backend/database.py", line 32, in get_db
    yield db
fastapi.exceptions.HTTPException
2026-05-09 01:41:58 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:42:07 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:42:07 | INFO     | backend.api | get_projects | Returning 2 project(s) for user_id=1
2026-05-09 01:42:07 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:42:09 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:42:09 | INFO     | backend.api | get_projects | Returning 2 project(s) for user_id=1
2026-05-09 01:42:09 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:42:09 | DEBUG    | backend.api | get_project | Fetching project_id=2
2026-05-09 01:42:09 | DEBUG    | backend.api | get_project | Project fetched: project_id=2, has_data=False
