2026-05-09 01:37:47 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:37:47 | DEBUG    | __main__ | <module> | No active session — rendering login view.
2026-05-09 01:37:51 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:37:51 | DEBUG    | __main__ | <module> | No active session — rendering login view.
2026-05-09 01:37:54 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:37:54 | DEBUG    | __main__ | <module> | No active session — rendering login view.
2026-05-09 01:37:54 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:37:54 | DEBUG    | __main__ | <module> | No active session — rendering login view.
2026-05-09 01:37:54 | INFO     | views.login | login_view | Login attempt for username='admin'.
2026-05-09 01:37:55 | INFO     | views.login | login_view | Login successful for username='admin'.
2026-05-09 01:37:55 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:37:55 | DEBUG    | __main__ | <module> | User='admin' logged in — rendering dashboard.
2026-05-09 01:37:55 | DEBUG    | views.dashboard | dashboard_view | Loading projects for user 'admin' (id=1).
2026-05-09 01:37:55 | INFO     | views.dashboard | dashboard_view | Loaded 2 project(s) for user 'admin'.
2026-05-09 01:37:59 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:37:59 | DEBUG    | __main__ | <module> | User='admin' logged in — rendering dashboard.
2026-05-09 01:38:00 | DEBUG    | views.dashboard | dashboard_view | Loading projects for user 'admin' (id=1).
2026-05-09 01:38:00 | INFO     | views.dashboard | dashboard_view | Loaded 2 project(s) for user 'admin'.
2026-05-09 01:38:00 | WARNING  | views.dashboard | dashboard_view | User 'admin' deleting project_id=1 (name='project1').
2026-05-09 01:38:00 | INFO     | views.dashboard | dashboard_view | Project_id=1 deleted.
2026-05-09 01:38:00 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:38:00 | DEBUG    | __main__ | <module> | User='admin' logged in — rendering dashboard.
2026-05-09 01:38:00 | DEBUG    | views.dashboard | dashboard_view | Loading projects for user 'admin' (id=1).
2026-05-09 01:38:00 | INFO     | views.dashboard | dashboard_view | Loaded 1 project(s) for user 'admin'.
2026-05-09 01:38:01 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:38:01 | DEBUG    | __main__ | <module> | User='admin' logged in — rendering dashboard.
2026-05-09 01:38:02 | DEBUG    | views.dashboard | dashboard_view | Loading projects for user 'admin' (id=1).
2026-05-09 01:38:02 | INFO     | views.dashboard | dashboard_view | Loaded 1 project(s) for user 'admin'.
2026-05-09 01:38:02 | WARNING  | views.dashboard | dashboard_view | User 'admin' deleting project_id=2 (name='project2').
2026-05-09 01:38:02 | INFO     | views.dashboard | dashboard_view | Project_id=2 deleted.
2026-05-09 01:38:02 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:38:02 | DEBUG    | __main__ | <module> | User='admin' logged in — rendering dashboard.
2026-05-09 01:38:02 | DEBUG    | views.dashboard | dashboard_view | Loading projects for user 'admin' (id=1).
2026-05-09 01:38:02 | INFO     | views.dashboard | dashboard_view | Loaded 0 project(s) for user 'admin'.
2026-05-09 01:38:09 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:38:09 | DEBUG    | __main__ | <module> | User='admin' logged in — rendering dashboard.
